ENSO_BA,ENSO_Sn,ENSO_Sp,ENSO_ER
"[0.8172594844261971, 0.795027173555459, 0.7799994736357296, 0.8137789006882212, 0.7980406090034609, 0.7992380877186056, 0.8092126906425592, 0.8012777492663798, 0.8487360677957181, 0.8334846630610715]","[0.7123287671232876, 0.6621004566210046, 0.6118721461187214, 0.7168949771689498, 0.6940639269406392, 0.684931506849315, 0.7077625570776256, 0.680365296803653, 0.7579908675799086, 0.7534246575342466]","[0.9221902017291066, 0.9279538904899135, 0.9481268011527377, 0.9106628242074928, 0.9020172910662824, 0.9135446685878963, 0.9106628242074928, 0.9221902017291066, 0.9394812680115274, 0.9135446685878963]","[0.15901060070671377, 0.17491166077738515, 0.18197879858657243, 0.16431095406360424, 0.1784452296819788, 0.17491166077738515, 0.16784452296819788, 0.17137809187279152, 0.13074204946996468, 0.14840989399293286]"
"[0.7776495840277161, 0.763428295318956, 0.772354196044401, 0.7924740407656126, 0.7781804376337406, 0.7802676948462826, 0.7609646744043099, 0.7605628363031552, 0.7617609548133466, 0.7822053926837526]","[0.6252847380410023, 0.6264236902050114, 0.6082004555808656, 0.662870159453303, 0.6321184510250569, 0.643507972665148, 0.5854214123006833, 0.6127562642369021, 0.5956719817767654, 0.6343963553530751]","[0.93001443001443, 0.9004329004329005, 0.9365079365079365, 0.922077922077922, 0.9242424242424242, 0.9170274170274171, 0.9365079365079365, 0.9083694083694084, 0.9278499278499278, 0.93001443001443]","[0.1881625441696113, 0.2058303886925795, 0.19081272084805653, 0.1784452296819788, 0.18904593639575973, 0.18904593639575973, 0.19964664310954064, 0.2062720848056537, 0.20097173144876326, 0.18462897526501768]"
