SVM_BA,SVM_Sn,SVM_Sp,SVM_ER,RF_BA,RF_Sn,RF_Sp,RF_ER,GB_BA,GB_Sn,GB_Sp,GB_ER,ENSO_BA,ENSO_Sn,ENSO_Sp,ENSO_ER
"[0.7719526798520917, 0.7545300225020726, 0.7529575092442725, 0.765458660666114, 0.7327845985814483, 0.7688273919966313, 0.7756767070651245, 0.7528456568368139, 0.7999486794836366, 0.7908162593923125]","[0.6073059360730594, 0.5753424657534246, 0.54337899543379, 0.5799086757990868, 0.54337899543379, 0.5981735159817352, 0.6118721461187214, 0.5662100456621004, 0.6575342465753424, 0.639269406392694]","[0.9365994236311239, 0.9337175792507204, 0.962536023054755, 0.9510086455331412, 0.9221902017291066, 0.9394812680115274, 0.9394812680115274, 0.9394812680115274, 0.9423631123919308, 0.9423631123919308]","[0.19081272084805653, 0.2049469964664311, 0.19964664310954064, 0.19257950530035337, 0.22438162544169613, 0.19257950530035337, 0.1872791519434629, 0.2049469964664311, 0.16784452296819788, 0.17491166077738515]","[0.837939020699275, 0.8173910754937954, 0.8209835116392299, 0.8190754411590542, 0.7930072506678246, 0.825082573394918, 0.8268787914676352, 0.814509231113392, 0.8443014488176543, 0.8447883357677681]","[0.7853881278538812, 0.7442922374429224, 0.7168949771689498, 0.7534246575342466, 0.7214611872146118, 0.7625570776255708, 0.7488584474885844, 0.7442922374429224, 0.7808219178082192, 0.7990867579908676]","[0.8904899135446686, 0.8904899135446686, 0.9250720461095101, 0.8847262247838616, 0.8645533141210374, 0.8876080691642652, 0.9048991354466859, 0.8847262247838616, 0.9077809798270894, 0.8904899135446686]","[0.1501766784452297, 0.16607773851590105, 0.15547703180212014, 0.16607773851590105, 0.19081272084805653, 0.1607773851590106, 0.15547703180212014, 0.1696113074204947, 0.1413427561837456, 0.14487632508833923]","[0.8619675496427301, 0.8451436316502836, 0.8261484610424644, 0.8439461529351387, 0.8039358888318662, 0.8296487834405801, 0.8376955772242181, 0.8534338689089784, 0.8373402813417026, 0.8545194952166646]","[0.821917808219178, 0.7853881278538812, 0.7214611872146118, 0.7945205479452054, 0.726027397260274, 0.771689497716895, 0.776255707762557, 0.7990867579908676, 0.7899543378995434, 0.8127853881278538]","[0.9020172910662824, 0.9048991354466859, 0.930835734870317, 0.8933717579250721, 0.8818443804034583, 0.8876080691642652, 0.899135446685879, 0.9077809798270894, 0.8847262247838616, 0.8962536023054755]","[0.12897526501766785, 0.1413427561837456, 0.1501766784452297, 0.14487632508833923, 0.1784452296819788, 0.15724381625441697, 0.14840989399293286, 0.13427561837455831, 0.1519434628975265, 0.13604240282685512]","[0.8172594844261971, 0.795027173555459, 0.7799994736357296, 0.8137789006882212, 0.7980406090034609, 0.7992380877186056, 0.8092126906425592, 0.8012777492663798, 0.8487360677957181, 0.8334846630610715]","[0.7123287671232876, 0.6621004566210046, 0.6118721461187214, 0.7168949771689498, 0.6940639269406392, 0.684931506849315, 0.7077625570776256, 0.680365296803653, 0.7579908675799086, 0.7534246575342466]","[0.9221902017291066, 0.9279538904899135, 0.9481268011527377, 0.9106628242074928, 0.9020172910662824, 0.9135446685878963, 0.9106628242074928, 0.9221902017291066, 0.9394812680115274, 0.9135446685878963]","[0.15901060070671377, 0.17491166077738515, 0.18197879858657243, 0.16431095406360424, 0.1784452296819788, 0.17491166077738515, 0.16784452296819788, 0.17137809187279152, 0.13074204946996468, 0.14840989399293286]"
"[0.7202664457789743, 0.7205137939762085, 0.7155224552718857, 0.7299113819614959, 0.7209904117648993, 0.7280123066000059, 0.7102451458943486, 0.7119716527461402, 0.7236085225834656, 0.7215960450584596]","[0.5011389521640092, 0.49658314350797267, 0.4772209567198178, 0.5045558086560364, 0.479498861047836, 0.5079726651480638, 0.46810933940774485, 0.479498861047836, 0.4977220956719818, 0.49658314350797267]","[0.9393939393939394, 0.9444444444444444, 0.9538239538239538, 0.9552669552669553, 0.9624819624819625, 0.948051948051948, 0.9523809523809523, 0.9444444444444444, 0.9494949494949495, 0.9466089466089466]","[0.23056537102473498, 0.22924028268551236, 0.2310070671378092, 0.21952296819787986, 0.2248233215547703, 0.2226148409893993, 0.23542402826855124, 0.23586572438162545, 0.22570671378091872, 0.22791519434628976]","[0.8070281401716481, 0.7624002800540386, 0.7887687483359465, 0.8036137489440451, 0.7937033859585112, 0.793437959155499, 0.7885033215329342, 0.7886167236964503, 0.7797138321056316, 0.8002716721395537]","[0.7403189066059226, 0.6503416856492027, 0.6879271070615034, 0.7118451025056948, 0.7050113895216401, 0.7015945330296127, 0.6845102505694761, 0.6890660592255126, 0.6719817767653758, 0.715261958997722]","[0.8737373737373737, 0.8744588744588745, 0.8896103896103896, 0.8953823953823954, 0.8823953823953824, 0.8852813852813853, 0.8924963924963925, 0.8881673881673882, 0.8874458874458875, 0.8852813852813853]","[0.17800353356890458, 0.2124558303886926, 0.18860424028268552, 0.17579505300353357, 0.18639575971731448, 0.18595406360424027, 0.1881625441696113, 0.18904593639575973, 0.196113074204947, 0.18065371024734983]","[0.823089337895716, 0.8002716721395537, 0.8047707797138322, 0.8364346359790551, 0.8154001781564424, 0.8158200948633751, 0.8046779214205182, 0.8151347513534302, 0.81485124594464, 0.8184382056819415]","[0.755125284738041, 0.715261958997722, 0.7220956719817767, 0.7767653758542141, 0.7505694760820045, 0.7312072892938497, 0.7038724373576309, 0.7471526195899773, 0.7357630979498861, 0.7494305239179955]","[0.8910533910533911, 0.8852813852813853, 0.8874458874458875, 0.8961038961038961, 0.8802308802308803, 0.9004329004329005, 0.9054834054834054, 0.8831168831168831, 0.8939393939393939, 0.8874458874458875]","[0.16166077738515902, 0.18065371024734983, 0.17667844522968199, 0.1501766784452297, 0.1700530035335689, 0.16519434628975266, 0.17270318021201414, 0.1696113074204947, 0.16740282685512367, 0.16607773851590105]","[0.7776495840277161, 0.763428295318956, 0.772354196044401, 0.7924740407656126, 0.7781804376337406, 0.7802676948462826, 0.7609646744043099, 0.7605628363031552, 0.7617609548133466, 0.7822053926837526]","[0.6252847380410023, 0.6264236902050114, 0.6082004555808656, 0.662870159453303, 0.6321184510250569, 0.643507972665148, 0.5854214123006833, 0.6127562642369021, 0.5956719817767654, 0.6343963553530751]","[0.93001443001443, 0.9004329004329005, 0.9365079365079365, 0.922077922077922, 0.9242424242424242, 0.9170274170274171, 0.9365079365079365, 0.9083694083694084, 0.9278499278499278, 0.93001443001443]","[0.1881625441696113, 0.2058303886925795, 0.19081272084805653, 0.1784452296819788, 0.18904593639575973, 0.18904593639575973, 0.19964664310954064, 0.2062720848056537, 0.20097173144876326, 0.18462897526501768]"
